year,slam,surface,date,champion,champion_ioc,seed,age,runner_up,runner_up_ioc,score
1976,US Open,Clay,19760901,Jimmy Connors,USA,1,23,Bjorn Borg,SWE,6-4 3-6 7-6 6-4
1977,Australian Open,Grass,19770101,Roscoe Tanner,USA,2,25,Guillermo Vilas,ARG,6-3 6-3 6-3
1977,Roland Garros,Clay,19770523,Guillermo Vilas,ARG,3,24,Brian Gottfried,USA,6-0 6-3 6-0
1977,Wimbledon,Grass,19770620,Bjorn Borg,SWE,2,21,Jimmy Connors,USA,3-6 6-2 6-1 5-7 6-4
1977,US Open,Clay,19770831,Guillermo Vilas,ARG,4,25,Jimmy Connors,USA,2-6 6-3 7-6 6-0
1977,Australian Open,Grass,19771219,Vitas Gerulaitis,USA,1,23,John Lloyd,GBR,6-3 7-6 5-7 3-6 6-2
1978,Roland Garros,Clay,19780529,Bjorn Borg,SWE,1,21,Guillermo Vilas,ARG,6-1 6-1 6-3
1978,Wimbledon,Grass,19780626,Bjorn Borg,SWE,1,22,Jimmy Connors,USA,6-2 6-2 6-3
1978,US Open,Hard,19780829,Jimmy Connors,USA,2,25,Bjorn Borg,SWE,6-4 6-2 6-2
1978,Australian Open,Grass,19781225,Guillermo Vilas,ARG,1,26,John Marks,AUS,6-4 6-4 3-6 6-3
1979,Roland Garros,Clay,19790528,Bjorn Borg,SWE,1,22,Victor Pecci,PAR,6-3 6-1 6-7 6-4
1979,Wimbledon,Grass,19790625,Bjorn Borg,SWE,1,23,Roscoe Tanner,USA,6-7 6-1 3-6 6-3 6-4
1979,US Open,Hard,19790828,John McEnroe,USA,3,20,Vitas Gerulaitis,USA,7-5 6-3 6-3
1979,Australian Open,Grass,19791224,Guillermo Vilas,ARG,1,27,John Sadri,USA,7-6 6-3 6-2
1980,Roland Garros,Clay,19800526,Bjorn Borg,SWE,1,23,Vitas Gerulaitis,USA,6-4 6-1 6-2
1980,Wimbledon,Grass,19800623,Bjorn Borg,SWE,1,24,John McEnroe,USA,1-6 7-5 6-3 6-7 8-6
1980,US Open,Hard,19800826,John McEnroe,USA,2,21,Bjorn Borg,SWE,7-6 6-1 6-7 5-7 6-4
1980,Australian Open,Grass,19801226,Brian Teacher,USA,8,26,Kim Warwick,AUS,7-5 7-6 6-2
1981,Roland Garros,Clay,19810525,Bjorn Borg,SWE,1,24,Ivan Lendl,USA,6-1 4-6 6-2 3-6 6-1
1981,Wimbledon,Grass,19810622,John McEnroe,USA,2,22,Bjorn Borg,SWE,4-6 7-6 7-6 6-4
1981,US Open,Hard,19810901,John McEnroe,USA,1,22,Bjorn Borg,SWE,4-6 6-2 6-4 6-3
1981,Australian Open,Grass,19811224,Johan Kriek,USA,4,23,Steve Denton,USA,6-2 7-6 6-7 6-4
1982,Roland Garros,Clay,19820524,Mats Wilander,SWE,,17,Guillermo Vilas,ARG,1-6 7-6 6-0 6-4
1982,Wimbledon,Grass,19820621,Jimmy Connors,USA,2,29,John McEnroe,USA,3-6 6-3 6-7 7-6 6-4
1982,US Open,Hard,19820831,Jimmy Connors,USA,2,29,Ivan Lendl,USA,6-3 6-2 4-6 6-4
1982,Australian Open,Grass,19821202,Johan Kriek,USA,1,24,Steve Denton,USA,6-3 6-3 6-2
1983,Roland Garros,Clay,19830523,Yannick Noah,FRA,6,23,Mats Wilander,SWE,6-2 7-5 7-6
1983,Wimbledon,Grass,19830620,John McEnroe,USA,2,24,Chris Lewis,NZL,6-2 6-2 6-2
1983,US Open,Hard,19830830,Jimmy Connors,USA,3,30,Ivan Lendl,USA,6-3 6-7 7-5 6-0
1983,Australian Open,Grass,19831129,Mats Wilander,SWE,3,19,Ivan Lendl,USA,6-1 6-4 6-4
1984,Roland Garros,Clay,19840528,Ivan Lendl,USA,2,24,John McEnroe,USA,3-6 2-6 6-4 7-5 7-5
1984,Wimbledon,Grass,19840625,John McEnroe,USA,1,25,Jimmy Connors,USA,6-1 6-1 6-2
1984,US Open,Hard,19840828,John McEnroe,USA,1,25,Ivan Lendl,USA,6-3 6-4 6-1
1984,Australian Open,Grass,19841126,Mats Wilander,SWE,2,20,Kevin Curren,USA,6-7 6-4 7-6 6-2
1985,Roland Garros,Clay,19850527,Mats Wilander,SWE,4,20,Ivan Lendl,USA,3-6 6-4 6-2 6-2
1985,Wimbledon,Grass,19850624,Boris Becker,GER,,17,Kevin Curren,USA,6-3 6-7 7-6 6-4
1985,US Open,Hard,19850827,Ivan Lendl,USA,2,25,John McEnroe,USA,7-6 6-3 6-4
1985,Australian Open,Grass,19851125,Stefan Edberg,SWE,5,19,Mats Wilander,SWE,6-4 6-3 6-3
1986,Roland Garros,Clay,19860526,Ivan Lendl,USA,1,26,Mikael Pernfors,SWE,6-3 6-2 6-4
1986,Wimbledon,Grass,19860623,Boris Becker,GER,4,18,Ivan Lendl,USA,6-4 6-3 7-5
1986,US Open,Hard,19860826,Ivan Lendl,USA,1,26,Miloslav Mecir Sr.,SVK,6-4 6-2 6-0
1987,Australian Open,Grass,19870112,Stefan Edberg,SWE,4,20,Pat Cash,AUS,6-3 6-4 3-6 5-7 6-3
